Realtime [sec],Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2]
59.52598894300172,59.8,0.008841276168823242,191.7123560800001,0.0,7.26524,-1.013199999999994,138.05006069296763,0.0,2.445013999938965,0.39852142333984375,0.3659864068031311
59.615319770004135,59.9,0.009349584579467773,192.4287480800001,0.0,7.16392,-1.013200000000003,138.29672070989014,0.0,2.488816976547241,0.43802976608276367,0.3445234000682831
59.71547691500746,60.0,0.008484363555908203,193.1350080800001,0.0,7.0626,-1.013200000000003,138.54858203539015,0.0,2.542184591293335,0.5336761474609375,0.32786911725997925
59.815009140991606,60.1,0.008629322052001953,193.83113608000008,0.0,6.96128,-1.013199999999994,138.80479767764766,0.0,2.5771524906158447,0.34967899322509766,0.31098195910453796
59.91497949801851,60.2,0.008980989456176758,194.51713208000007,0.0,6.85996,-1.013200000000003,139.06478748162488,0.0,2.622100830078125,0.44948339462280273,0.292489618062973
60.0146557620028,60.3,0.008440017700195312,195.19281728000007,0.0,6.75685199999999,-1.0310800000001041,139.32964134800872,0.0,2.671785593032837,0.49684762954711914,0.264191597700119
60.114699004014255,60.4,0.009414434432983398,195.85556928000008,0.0,6.62752,-1.2933199999999,139.87054688704814,0.0,2.7369275093078613,0.6514191627502441,0.264191597700119
60.21597151301103,60.5,0.009085893630981445,196.5052092800001,0.0,6.4964,-1.3111999999999924,139.87054688704814,0.0,2.7369275093078613,0.0,0.23071609437465668
60.31564643399906,60.6,0.009612798690795898,197.1417372800001,0.0,6.36528,-1.3112000000000013,140.1464987954498,0.0,2.785112142562866,0.48184633255004883,0.2140417844057083
60.41565787800937,60.7,0.008778095245361328,197.76515328000008,0.0,6.23416,-1.3112000000000013,140.42645071830984,0.0,2.823068857192993,0.37956714630126953,0.190876767039299
60.61550017900299,60.8,0.008078336715698242,198.3754572800001,0.0,6.10304,-1.3112000000000013,140.70919871851413,0.0,2.840481996536255,0.1741313934326172,0.1636972874403
60.62758799601579,60.9,0.010572671890258789,198.97247048000008,0.0,5.970132,-1.3290799999999958,140.99417701891804,0.0,2.866490364074707,0.2600836753845215,0.1599026471376419
60.71623747001286,61.0,0.009752035140991211,199.55357048000008,0.0,5.811,-1.591320000000005,141.28179239408274,0.0,2.896921157836914,0.3043079376220703,0.14711642265319824
60.81660404501599,61.1,0.008415699005126953,200.11857848000008,0.0,5.65008,-1.6091999999999995,141.57318531400088,0.0,2.925919532775879,0.28998374938964844,0.12700271606445312
60.91444249000051,61.2,0.00966024398803711,200.66749448000007,0.0,5.48916,-1.6091999999999995,141.8666731775311,0.0,2.9505057334899902,0.24586200714111328,0.11840351670980453
61.016286449012114,61.3,0.009048223495483398,201.20031848000008,0.0,5.32824,-1.6091999999999995,142.1636481382765,0.0,2.984581708908081,0.3407597541809082,0.09218157082796097
61.11580206500366,61.4,0.009963750839233398,201.71705048000007,0.0,5.16732,-1.6091999999999995,142.46268407133743,0.0,3.0082345008850098,0.2365279197692871,0.08390389382839203
61.21628307600622,61.5,0.008417844772338867,202.21788716000006,0.0,5.0083668,-1.5895320000000002,143.0669042135503,0.0,3.0447475910186768,0.3651309013366699,0.08390389382839203
61.31474819799769,61.6,0.008547067642211914,202.70571316000007,0.0,4.87826,-1.3010680000000008,143.0669042135503,0.0,3.0447475910186768,0.0,0.07034985721111298
61.41508092201548,61.7,0.00848698616027832,203.18072516000007,0.0,4.75012,-1.2814000000000014,143.3713040170055,0.0,3.0626020431518555,0.1785445213317871,0.06031666696071625
61.61468686800799,61.8,0.0069811344146728516,203.64292316000007,0.0,4.62198,-1.2814000000000014,143.67813255673016,0.0,3.0962488651275635,0.3364682197570801,0.04770813137292862
61.62549426400801,61.9,0.009260892868041992,204.09230716000008,0.0,4.49384,-1.2814000000000014,143.9877661247423,0.0,3.126519203186035,0.3027033805847168,0.03887295722961426
61.71557210799074,62.0,0.010469436645507812,204.52887716000006,0.0,4.3657,-1.2813999999999925,144.29915883503298,0.0,3.143902063369751,0.1738286018371582,0.03164331614971161
61.817038484005025,62.1,0.008826732635498047,204.95252588000005,0.0,4.2364872,-1.2921280000000035,144.61201308635734,0.0,3.160813808441162,0.16911745071411133,0.024089116603136063
61.915262094000354,62.2,0.009192705154418945,205.36167988000005,0.0,4.09154,-1.4494719999999983,144.92844316905135,0.0,3.196039915084839,0.3522610664367676,0.023042717948555946
62.01574707200052,62.3,0.008871078491210938,205.75623188000006,0.0,3.94552,-1.4602000000000004,145.24708082218737,0.0,3.2162933349609375,0.20253419876098633,0.01264171302318573
62.11466249599471,62.4,0.009770631790161133,206.13618188000007,0.0,3.7995,-1.4602000000000004,145.5681616599659,0.0,3.2475266456604004,0.3123331069946289,0.01057590264827013
62.21559094401891,62.5,0.011792898178100586,206.50152988000008,0.0,3.65348,-1.4602000000000004,145.89145891340996,0.0,3.2752721309661865,0.27745485305786133,0.0038894456811249256
62.31863883000915,62.6,0.009683847427368164,206.85227588000006,0.0,3.50746,-1.4602000000000004,146.5441975733168,0.0,3.3144006729125977,0.39128541946411133,0.0038894456811249256
62.41552924900316,62.7,0.008366107940673828,207.18824108000007,0.0,3.35965199999999,-1.4780800000001015,146.5441975733168,0.0,3.3144006729125977,0.0,-0.006093847099691629
62.51462757200352,62.8,0.004932403564453125,207.50680308000005,0.0,3.18561999999999,-1.7403199999999996,146.87386088564566,0.0,3.3379836082458496,0.23582935333251953,-0.00037371122743934393
62.708983777993126,62.9,0.003918886184692383,207.80778308000006,0.0,3.00979999999999,-1.7581999999999987,147.20479280036807,0.0,3.3612561225891113,0.2327251434326172,-0.010338223539292812
62.7137745420041,63.0,0.008450508117675781,208.09118108000007,0.0,2.83397999999999,-1.7581999999999987,147.53784277609947,0.0,3.3833231925964355,0.2206707000732422,-0.019881166517734528
62.81479225601652,63.1,0.008414506912231445,208.35699708000007,0.0,2.65815999999999,-1.758200000000003,147.8725752824923,0.0,3.403836965560913,0.2051377296447754,-0.01945475861430168
62.91457596901455,63.2,0.008779048919677734,208.60523108000007,0.0,2.48233999999999,-1.7581999999999987,148.20857395972322,0.0,3.4178338050842285,0.1399683952331543,-0.02282661572098732
63.015368087013485,63.3,0.009567975997924805,208.83574004000008,0.0,2.30508959999999,-1.7725040000000014,148.5464867292236,0.0,3.444193124771118,0.2635931968688965,-0.028996802866458893
63.1159403490019,63.4,0.008736133575439453,209.04642604000009,0.0,2.10685999999999,-1.982295999999999,148.88739010050534,0.0,3.4718527793884277,0.2765965461730957,-0.03534942865371704
63.215332518011564,63.5,0.009503841400146484,209.23714604000008,0.0,1.90719999999999,-1.9965999999999995,149.23002840423075,0.0,3.4880361557006836,0.1618337631225586,-0.04019827023148537
