Config,Group,Controller,RMS_Speed_Dev_pct,RMS_Gap_Dev_pct,CollisionRate_per_s
3veh_avg,1.5s\10s,PCF,43.8826995379068,-27.0179310886443,0.0111482720178372
3veh_avg,1.5s\10s,PCF-I,3.34558243252018,1.09742551666809,0.00557413600891862
3veh_avg,1.5s\10s,PCF-IDA,4.00759609229626,51.3964413341732,0.00557413600891862
3veh_avg,1s\10s,PCF,6.71060515151488,-17.5400370782513,0.00557413600891862
3veh_avg,1s\10s,PCF-I,2.71091412520131,1.11000208082216,0.00557413600891862
3veh_avg,1s\10s,PCF-IDA,3.14938943547165,51.1885783576547,0.00557413600891862
3veh_avg,0.75s\10s,PCF,-5.69676280346172,-12.3860076000224,0.00557413600891862
3veh_avg,0.75s\10s,PCF-I,1.83006284290907,0.735792963888056,0.00557413600891862
3veh_avg,0.75s\10s,PCF-IDA,2.80457836815092,51.0286446343273,0.00557413600891862
3veh_avg,0.5s\10s,PCF,-9.64082103982512,-8.37817012216488,0.00557413600891862
3veh_avg,0.5s\10s,PCF-I,1.77816441186207,1.18263737558002,0.00557413600891862
3veh_avg,0.5s\10s,PCF-IDA,1.36533793115236,-0.146086260135997,0.00557413600891862
3veh_avg,0.2s\10s,PCF,-7.8924446944889,-3.40465778566551,0.00557413600891862
3veh_avg,0.2s\10s,PCF-I,0.780613585348592,0.618141012847579,0.00557413600891862
3veh_avg,0.2s\10s,PCF-IDA,0.228910950578178,-0.546304263732984,0.00557413600891862
3veh_avg,0.1s\10s,PCF,-1.92306857279913,-2.60536593454098,0.00557413600891862
3veh_avg,0.1s\10s,PCF-I,-0.104655516616305,-0.64074886678441,0.00557413600891862
3veh_avg,0.1s\10s,PCF-IDA,0.920789250456971,0.688533189850203,0.00557413600891862
