Config,Group,Controller,RMS_Speed_Dev_pct,RMS_Gap_Dev_pct,RMS_Effort_Dev_pct
3veh_avg,1s\20s,PCF,9.82577411428325,-14.2031609428416,51.2034456242744
3veh_avg,1s\20s,PCF-I,2.43691854762493,0.979686908831585,59.7362974110899
3veh_avg,1s\20s,PCF-IDA,-0.405674743925285,-4.12111993386755,80.4982491034882
3veh_avg,0.5s\20s,PCF,-6.52811539510551,-5.40048529278429,25.3348077902999
3veh_avg,0.5s\20s,PCF-I,1.26800315691237,0.547981234703469,31.5048308742718
3veh_avg,0.5s\20s,PCF-IDA,1.21923032668006,-0.256868812277366,26.5154232270056
3veh_avg,2s\10s,PCF,97.2711566504769,-43.5918629755421,101.58103578884
3veh_avg,2s\10s,PCF-I,3.27879787944144,0.359684324693971,30.8756856338168
3veh_avg,2s\10s,PCF-IDA,-9.9521944593606,-19.1336834833731,94.6343482363914
3veh_avg,1.5s\10s,PCF,55.4230981437443,-24.5096408112504,76.3976488070027
3veh_avg,1.5s\10s,PCF-I,2.20529742631429,-0.372966268610396,76.0427809403136
3veh_avg,1.5s\10s,PCF-IDA,-5.08160528950519,-11.9292421382506,108.47607455922
3veh_avg,1s\10s,PCF,18.2616847371758,-17.2792756983462,59.5085302721474
3veh_avg,1s\10s,PCF-I,2.08199773816661,0.00219295818105472,58.701628039639
3veh_avg,1s\10s,PCF-IDA,-1.02450750077123,-5.67827599960554,77.4410766567864
3veh_avg,0.75s\10s,PCF,2.15112451297162,-11.6121486642142,46.6582866435355
3veh_avg,0.75s\10s,PCF-I,1.46420265621258,0.00844385026552162,42.2292256673009
3veh_avg,0.75s\10s,PCF-IDA,-1.69976367697049,-6.27060136514352,67.4682117601495
3veh_avg,0.5s\10s,PCF,-3.30528191605655,-9.24406489172938,36.0869972819785
3veh_avg,0.5s\10s,PCF-I,0.978827490696786,-0.161136303112088,38.2817524798496
3veh_avg,0.5s\10s,PCF-IDA,0.62346397616508,-1.58025608146194,40.6171814067538
3veh_avg,0.2s\10s,PCF,-3.50116480138584,-2.2651426541913,12.6452467194982
3veh_avg,0.2s\10s,PCF-I,-0.281177934504308,-1.09186399831076,22.4671694558027
3veh_avg,0.2s\10s,PCF-IDA,0.877774059987689,0.0928750612355379,17.6981741720728
3veh_avg,0.1s\10s,PCF,0.547726648087048,-1.22034175724639,17.8487389622122
3veh_avg,0.1s\10s,PCF-I,-0.643074772342402,-1.41094399002251,16.8594699663549
3veh_avg,0.1s\10s,PCF-IDA,0.21428282807152,-0.258243469049496,9.04196759810869
